band_name,dec,oid,mjd,pixelFlags_bad,pixelFlags_saturated,psfFlux,psfFluxErr,psfFlux_flag,ra
i,-47.8938459933,170050474601349124,61097.1266053351,False,False,4492.473,560.45807,False,62.1010055918
i,-47.8938289606,170050474601349124,61097.1217928798,False,False,6243.356,577.8404,False,62.1009915206
i,-47.8937985149,170050474601349124,61097.1213534407,False,False,4939.339,584.7242,False,62.1010207858
r,-47.8938151066,170050474601349124,61096.1021590993,False,False,7839.295,347.80313,False,62.101023569
z,-47.8938008005,170050474601349124,61096.0938020675,False,False,6147.5327,590.4051,False,62.1010112519
z,-47.8938183006,170050474601349124,61096.091805147,False,False,5851.1797,525.6447,False,62.1010003284
z,-47.8937887812,170050474601349124,61096.0900771128,False,False,5396.107,539.6336,False,62.1010010446
z,-47.8938035973,170050474601349124,61096.0892114466,False,False,4517.639,552.2375,False,62.1010161907
z,-47.893800357800004,170050474601349124,61096.0874755083,False,False,4927.172,551.4032,False,62.1010288706
z,-47.8938031325,170050474601349124,61096.0866109131,False,False,5618.4023,528.10443,False,62.1010228395
z,-47.8938123428,170050474601349124,61096.085564282,False,False,5957.0884,497.80765,False,62.1010196063
z,-47.8937967131,170050474601349124,61096.0846985559,False,False,4537.3027,501.2468,False,62.1010214406
z,-47.8938085512,170050474601349124,61096.083828161,False,False,4739.591,531.94574,False,62.1010100959
z,-47.8938097901,170050474601349124,61096.0829621219,True,False,5802.293,540.8115,False,62.1009860181
z,-47.8938012391,170050474601349124,61096.082098254,False,False,4980.582,520.09937,False,62.1010286685
z,-47.8938165691,170050474601349124,61096.0812306716,False,False,4592.893,521.8942,False,62.1009720601
z,-47.893800680300004,170050474601349124,61096.0795005578,False,False,5216.172,533.40436,False,62.1010025482
z,-47.8937997552,170050474601349124,61096.0784943487,False,False,5656.053,514.79956,False,62.1010123533
g,-47.8937978433,170050474601349124,61096.0762484897,False,False,10180.977,258.1372,False,62.1010591437
g,-47.8938083378,170050474601349124,61096.0753806801,False,False,9475.863,258.082,False,62.1010460564
g,-47.8938058858,170050474601349124,61096.0736376324,False,False,9627.363,252.75111,False,62.1010507536
g,-47.8938110812,170050474601349124,61096.07276311,False,False,9433.95,257.1944,False,62.1010432317
g,-47.8938009329,170050474601349124,61096.0718964082,False,False,9439.682,252.83612,False,62.1010285164
g,-47.8938047938,170050474601349124,61096.0709187155,False,False,9831.952,253.49,False,62.1010495463
g,-47.8938106459,170050474601349124,61096.0700525855,False,False,9547.326,248.91449,False,62.1010390246
g,-47.8938045591,170050474601349124,61096.069181278,False,False,9487.546,253.29715,False,62.101037128
g,-47.893796704,170050474601349124,61096.0674426736,False,False,9462.038,253.37564,False,62.1010383478
g,-47.8938044164,170050474601349124,61096.0665734164,False,False,9572.491,257.70386,False,62.1010504382
g,-47.8938126928,170050474601349124,61096.0648407986,False,False,9669.427,253.16873,False,62.1010456961
g,-47.8938034596,170050474601349124,61096.0636453756,False,False,9492.2705,248.48203,False,62.1010418859
g,-47.8937986076,170050474601349124,61096.0627772209,False,False,10230.49,257.49542,False,62.1010254473
g,-47.8938038121,170050474601349124,61096.0610368788,False,False,9574.612,250.747,False,62.1010342146
g,-47.8938024102,170050474601349124,61096.060164671,False,False,9659.842,249.92249,False,62.1010494246
g,-47.8938066099,170050474601349124,61096.0592888859,False,False,9457.365,254.76765,False,62.1010446046
g,-47.8937984037,170050474601349124,61096.0584220961,False,False,10143.705,251.4052,False,62.101028939
g,-47.8938072051,170050474601349124,61096.0485925335,False,False,9494.209,273.70288,False,62.101043052
g,-47.8938015288,170050474601349124,61096.047675552,False,False,9674.225,278.21616,False,62.1010280253
i,-47.8938208699,170050474601349124,61096.0413562066,False,False,6290.9307,430.6417,False,62.1010097244
i,-47.8938050139,170050474601349124,61096.0404279121,False,False,6747.3105,392.47455,False,62.1009997817
i,-47.8938190499,170050474601349124,61096.0290078608,False,False,6138.8213,369.4612,False,62.1010381499
i,-47.8937986519,170050474601349124,61096.0262113781,False,False,6056.732,374.75803,False,62.1010103439
i,-47.8938186848,170050474601349124,61096.0253002387,False,False,7060.0586,386.0615,False,62.1010077524
r,-47.8937911226,170050474601349124,61095.0948614094,False,True,3437.576,304.9456,True,62.1010540584
r,-47.8937923895,170050474601349124,61095.0939336223,False,True,3227.0234,309.4457,True,62.1009952468
r,-47.8938301104,170050474601349124,61095.0913313193,False,True,3040.9634,314.54385,True,62.1010345642
r,-47.8937859729,170050474601349124,61095.0867994584,False,True,3092.261,301.8719,True,62.1010153651
r,-47.8938004305,170050474601349124,61095.0850686267,False,False,2961.2192,309.22287,False,62.1010435386
r,-47.8937947744,170050474601349124,61095.0846342706,False,False,3211.729,321.4518,False,62.1010070153
r,-47.8938069289,170050474601349124,61095.0842003337,False,False,3068.2322,305.17108,False,62.1009794908
r,-47.8937997285,170050474601349124,61095.0833312142,False,False,3552.5513,297.724,False,62.1010078026
r,-47.8937865923,170050474601349124,61095.0824631858,False,False,3113.813,298.71234,False,62.1010207113
g,-47.893816807,170050474601349124,61095.0654970692,False,False,3885.1768,234.55103,False,62.1010548797
g,-47.8938099455,170050474601349124,61095.0645493063,False,False,3467.5215,240.44806,False,62.1010289685
g,-47.8938040108,170050474601349124,61095.0628223762,False,False,3858.1624,243.9506,False,62.1010499055
g,-47.8937987289,170050474601349124,61095.0610865972,False,False,3755.8728,248.60449,False,62.101007224
g,-47.8938076039,170050474601349124,61095.0602204941,False,False,3765.0999,246.58891,False,62.1010663883
